str,en,hu
beku_title,"BEKU, the party game","BEKU, az ivós játék"
insert_names,Put in the players' names,Írd le a játékosok neveit
insert_names_textbox,Put down a name,Írj le egy nevet
packs_games_title,Packs and games,Paklik és játékok
few_sips,Few sips,Pár korty
balanced_sips,Balanced,Közepes
lot_of_sips,Lot of sips,Sok korty
pregame_pack,PRE-GAME,ALAPOZÁS
pregame_descr,The perfect start.,A tökéletes kezdés.
icebreaker_pack,ICEBREAKER,ISMERKEDŐS
icebreaker_descr,Get to know each other.,Ismerjétek meg egymást.
kings_pack,KING’S CUP,KIRÁLY POHARA
kings_descr,No deck needed.,Nincs szükség paklira.
deep_pack,DEEP,LELKIZŐS
deep_descr,Time to go deeper.,Ideje elmélyülni.
crazy_pack,CRAZY,MEGBORULÓS
crazy_descr,Time to get messed up.,Boruljatok meg keményen.
naughty_pack,NAUGHTY,FORRÓ
naughty_descr,Get your freak on.,Gátlásokat levetkőzni.
all_pack,ALL AT ONCE,ÖSSZES
all_descr,All packs at once.,Összes pakli egyszerre.
your_current_membership,Your current membership,Jelenlegi tagságod
unavailable,Unavailable,Nem elérhető
premium,PREMIUM,PREMIUM
premium_forever,PREMIUM LIFETIME,PREMIUM ÖRÖKRE
premium_monthly,PREMIUM MONTHLY,PREMIUM HAVONTA
premium_365,PREMIUM 365,PREMIUM 365
valid_thru,VALID THRU,ÉRVÉNYES
upgrade_membership,Be the life of the party!,Legyél te a buli lelke!
forever,Lifetime,Örökre
monthly,Monthly,Havonta
three_sixty_five,365,365
per_year,{} per year.,{} évente.
per_month,{} per month.,{} havonta.
paid_once,{} paid once for lifetime access.,{} egyszeri ár.
trial_x_days,Try it out for {} day. Cancel if you don’t love it.,Próbáld ki {} napra ingyen. Mondd le ha nem tetszik.
trial_x_days.many,Try it out for {} days. Cancel if you don’t love it.,Próbáld ki {} napig ingyen. Mondd le ha nem tetszik.
trial_x_weeks,Try it out for {} week. Cancel if you don’t love it.,Próbáld ki {} hétre ingyen. Mondd le ha nem tetszik.
trial_x_weeks.many,Try it out for {} weeks. Cancel if you don’t love it.,Próbáld ki {} hétig ingyen. Mondd le ha nem tetszik.
trial_x_months,Try it out for {} month. Cancel if you don’t love it.,Próbáld ki {} hónapra ingyen. Mondd le ha nem tetszik.
trial_x_months.many,Try it out for {} months. Cancel if you don’t love it.,Próbáld ki {} hónapig ingyen. Mondd le ha nem tetszik.
